From,To,Year,Weight
6806,8335,1990,1
6807,9251,1990,1
6807,8573,1990,1
6809,6810,1990,1
6810,9716,1990,1
6810,6810,1990,1
6810,7948,1990,1
6810,8405,1990,1
6810,8470,1990,1
6812,7483,1990,1
6813,7540,1990,1
6817,8120,1990,1
6817,7377,1990,1
6818,9474,1990,1
6821,7396,1990,1
6822,9470,1990,1
7864,7948,1990,1
6848,6848,1990,1
8389,9868,1990,1
7367,6821,1990,1
7377,8272,1990,1
6881,6882,1990,1
6887,6884,1990,1
6891,6848,1990,1
6892,7824,1990,1
6953,6890,1990,1
6783,7396,1990,1
6783,7900,1990,1
9470,9471,1990,1
9474,9475,1990,1
7900,7962,1990,1
7470,7467,1990,1
9047,9036,1990,1
6801,7212,1990,1
8340,8339,1990,1
8573,6892,1990,1
8120,9971,1990,1
8120,7677,1990,1
7609,7610,1990,1
7102,7101,1990,1
6820,6794,1990,1
6827,8718,1991,1
8244,7128,1991,1
7738,7390,1991,1
7255,7540,1991,1
8288,8289,1991,1
7914,7963,1991,1
6781,6848,1991,1
6781,7016,1991,1
6781,7266,1991,1
6781,7284,1991,1
6781,8517,1991,1
6781,10966,1991,1
6781,8216,1991,1
6781,7180,1991,1
6781,7677,1991,1
6781,7042,1991,2
6781,6781,1991,2
6782,7128,1991,1
6782,8350,1991,1
6783,8608,1991,1
6783,6892,1991,1
6783,6783,1991,1
6784,6848,1991,1
6785,8546,1991,1
6785,7615,1991,1
6787,8214,1991,1
6789,8112,1991,1
6790,6852,1991,1
6790,8674,1991,1
6790,8588,1991,1
6790,9833,1991,1
6791,6789,1991,1
6791,7279,1991,1
6792,6794,1991,1
6792,6820,1991,1
6793,6848,1991,1
6793,8062,1991,1
6794,6897,1991,1
6794,6802,1991,1
6794,7723,1991,1
6794,6787,1991,1
6795,6848,1991,3
6795,6787,1991,1
6795,6869,1991,1
6795,6790,1991,1
6795,6856,1991,1
6795,8537,1991,1
6795,6795,1991,1
6795,6781,1991,1
6798,6890,1991,1
6798,7135,1991,1
6799,7161,1991,1
6799,6869,1991,1
6799,8214,1991,1
6799,7783,1991,1
6800,6782,1991,1
6800,7128,1991,1
6800,7273,1991,1
6800,7900,1991,3
6800,8222,1991,1
6800,9711,1991,1
6802,8674,1991,1
6802,7394,1991,1
6802,6802,1991,1
6802,8631,1991,1
8339,8341,1991,1
6804,6800,1991,1
6804,6897,1991,1
6804,6787,1991,1
6804,6804,1991,1
6804,8612,1991,1
6804,6795,1991,1
6805,7900,1991,1
6805,8437,1991,1
6805,9054,1991,1
6806,6848,1991,1
6806,7900,1991,1
6806,6826,1991,1
6806,8108,1991,1
6806,7278,1991,1
6807,6848,1991,1
6807,7266,1991,1
6807,6829,1991,1
6808,8580,1991,1
6809,7101,1991,1
6810,6848,1991,1
6810,8039,1991,1
6810,7273,1991,1
6810,6810,1991,1
